Invoice,Fruit,Price,qty,Total
4281,Gauva,40,44,1760
4282,Apple,220,44,9680
4283,Pineapple,70,22,1540
4284,Pineapple,70,4,280
4285,Mango,180,32,5760
4286,WaterMelon,35,5,175
4287,Orange,85,10,850
4288,Banana,55,19,1045
4289,CrustedApple,80,2,160
4290,MuskMelon,35,10,350
4291,Mango,180,10,1800
4292,Banana,55,21,1155
4293,CrustedApple,80,34,2720
4294,CrustedApple,80,46,3680
4295,Orange,85,4,340
4296,Pineapple,70,48,3360
4297,Apple,220,7,1540
4298,Orange,85,48,4080
4299,Grapes,120,14,1680
4300,Orange,85,48,4080
4301,Banana,55,8,440
4302,Banana,55,13,715
4303,Pineapple,70,38,2660
4304,Orange,85,26,2210
4305,Avacado,140,22,3080
4306,Avacado,140,20,2800
4307,Mango,180,48,8640
4308,Banana,55,32,1760
4309,WaterMelon,35,39,1365
4310,Avacado,140,26,3640
4311,MuskMelon,35,32,1120
4312,Mango,180,23,4140
4313,MuskMelon,35,25,875
4314,Mango,180,39,7020
4315,Orange,85,4,340
4316,Avacado,140,43,6020
4317,Pears,130,38,4940
4318,Banana,55,40,2200
4319,Banana,55,1,55
4320,CrustedApple,80,21,1680
4321,MuskMelon,35,48,1680
4322,Grapes,120,20,2400
4323,Apple,220,23,5060
4324,Banana,55,12,660
4325,Apple,220,27,5940
4326,Apple,220,1,220
4327,WaterMelon,35,49,1715
4328,Grapes,120,9,1080
4329,Avacado,140,9,1260
4330,Apple,220,28,6160
4331,Banana,55,24,1320
4332,WaterMelon,35,49,1715
4333,Orange,85,43,3655
4334,Gauva,40,27,1080
4335,Pears,130,12,1560
4336,Pears,130,9,1170
4337,Orange,85,40,3400
4338,Apple,220,11,2420
4339,Gauva,40,45,1800
4340,Apple,220,17,3740
4341,Gauva,40,19,760
4342,Apple,220,14,3080
4343,CrustedApple,80,31,2480
4344,Gauva,40,31,1240
4345,Apple,220,25,5500
4346,WaterMelon,35,50,1750
4347,Pears,130,33,4290
4348,Orange,85,8,680
4349,Banana,55,43,2365
4350,Avacado,140,16,2240
