Invoice,Fruit,Price,qty,Total
3156,Banana,140,14,1960
3157,Banana,80,29,2320
3158,Pineapple,35,33,1155
3159,Apple,35,12,420
3160,Gauva,140,17,2380
3161,CrustedApple,120,36,4320
3162,Orange,180,1,180
3163,Avacado,55,32,1760
3164,WaterMelon,180,16,2880
3165,Mango,80,18,1440
3166,Gauva,130,1,130
3167,Orange,70,45,3150
3168,MuskMelon,130,23,2990
3169,Pears,140,43,6020
3170,Mango,220,46,10120
3171,Gauva,180,39,7020
3172,Grapes,220,21,4620
3173,MuskMelon,70,6,420
3174,Grapes,55,19,1045
3175,Pineapple,140,6,840
3176,Grapes,220,22,4840
3177,Gauva,40,36,1440
3178,Apple,40,41,1640
3179,Pineapple,220,12,2640
3180,Orange,80,38,3040
3181,Gauva,120,32,3840
3182,MuskMelon,180,8,1440
3183,Pineapple,130,2,260
3184,Pears,85,49,4165
3185,Pears,55,6,330
3186,WaterMelon,85,34,2890
3187,Pineapple,180,19,3420
3188,Pineapple,80,50,4000
3189,Banana,55,31,1705
3190,Pears,130,40,5200
3191,Pears,40,29,1160
3192,Apple,220,17,3740
3193,CrustedApple,220,16,3520
3194,Avacado,40,34,1360
3195,Pears,220,33,7260
3196,MuskMelon,55,6,330
3197,CrustedApple,180,37,6660
3198,Orange,130,25,3250
3199,Banana,85,26,2210
3200,Mango,180,21,3780
3201,MuskMelon,#N/A,44,#N/A
3202,WaterMelon,#N/A,1,#N/A
3203,CrustedApple,#N/A,38,#N/A
3204,Grapes,#N/A,10,#N/A
3205,Apple,#N/A,12,#N/A
3206,Orange,#N/A,11,#N/A
3207,Mango,#N/A,21,#N/A
3208,Apple,#N/A,41,#N/A
3209,Orange,#N/A,49,#N/A
3210,Pears,#N/A,15,#N/A
3211,Apple,#N/A,20,#N/A
3212,Avacado,#N/A,34,#N/A
3213,Grapes,#N/A,47,#N/A
3214,Pears,#N/A,24,#N/A
3215,Pineapple,#N/A,18,#N/A
3216,Pineapple,#N/A,47,#N/A
3217,Apple,#N/A,24,#N/A
3218,WaterMelon,#N/A,32,#N/A
3219,Gauva,#N/A,50,#N/A
3220,WaterMelon,#N/A,9,#N/A
3221,WaterMelon,#N/A,15,#N/A
3222,Grapes,#N/A,1,#N/A
3223,Banana,#N/A,9,#N/A
3224,Pineapple,#N/A,30,#N/A
3225,Grapes,#N/A,1,#N/A
3226,Mango,#N/A,46,#N/A
3227,MuskMelon,#N/A,37,#N/A
3228,Grapes,#N/A,13,#N/A
3229,Banana,#N/A,31,#N/A
3230,Pineapple,#N/A,43,#N/A
3231,Pineapple,#N/A,3,#N/A
3232,Avacado,#N/A,4,#N/A
3233,Apple,#N/A,47,#N/A
3234,Grapes,#N/A,39,#N/A
3235,Banana,#N/A,35,#N/A
3236,Pears,#N/A,27,#N/A
3237,Orange,#N/A,24,#N/A
3238,Apple,#N/A,18,#N/A
3239,Banana,#N/A,41,#N/A
3240,Gauva,#N/A,32,#N/A
3241,Grapes,#N/A,20,#N/A
3242,Orange,#N/A,23,#N/A
3243,Avacado,#N/A,37,#N/A
3244,Apple,#N/A,26,#N/A
3245,Orange,#N/A,47,#N/A
3246,WaterMelon,#N/A,46,#N/A
3247,Grapes,#N/A,44,#N/A
3248,Pineapple,#N/A,22,#N/A
3249,Pears,#N/A,8,#N/A
3250,WaterMelon,#N/A,1,#N/A
3251,Banana,#N/A,30,#N/A
3252,Grapes,#N/A,16,#N/A
3253,CrustedApple,#N/A,32,#N/A
3254,Mango,#N/A,22,#N/A
3255,Orange,#N/A,9,#N/A
3256,WaterMelon,#N/A,13,#N/A
3257,Mango,#N/A,15,#N/A
3258,Orange,#N/A,18,#N/A
3259,Pineapple,#N/A,8,#N/A
3260,Pineapple,#N/A,50,#N/A
3261,Orange,#N/A,35,#N/A
3262,Avacado,#N/A,25,#N/A
3263,Apple,#N/A,23,#N/A
3264,WaterMelon,#N/A,31,#N/A
3265,CrustedApple,#N/A,32,#N/A
3266,Apple,#N/A,29,#N/A
3267,Gauva,#N/A,44,#N/A
3268,MuskMelon,#N/A,17,#N/A
3269,Banana,#N/A,15,#N/A
3270,Avacado,#N/A,19,#N/A
3271,Avacado,#N/A,1,#N/A
3272,Avacado,#N/A,43,#N/A
3273,Grapes,#N/A,23,#N/A
3274,Orange,#N/A,17,#N/A
3275,Pears,#N/A,1,#N/A
3276,Pears,#N/A,42,#N/A
3277,Apple,#N/A,4,#N/A
3278,Banana,#N/A,3,#N/A
3279,Apple,#N/A,16,#N/A
3280,Mango,#N/A,25,#N/A
3281,Apple,#N/A,20,#N/A
3282,Pears,#N/A,26,#N/A
3283,CrustedApple,#N/A,50,#N/A
3284,Avacado,#N/A,34,#N/A
3285,Pears,#N/A,15,#N/A
3286,Pineapple,#N/A,1,#N/A
3287,Avacado,#N/A,43,#N/A
3288,Grapes,#N/A,37,#N/A
3289,Grapes,#N/A,29,#N/A
3290,WaterMelon,#N/A,45,#N/A
3291,Pineapple,#N/A,32,#N/A
3292,Banana,#N/A,23,#N/A
3293,Gauva,#N/A,10,#N/A
3294,Apple,#N/A,40,#N/A
3295,Mango,#N/A,25,#N/A
3296,Grapes,#N/A,25,#N/A
3297,MuskMelon,#N/A,48,#N/A
3298,Orange,#N/A,19,#N/A
3299,MuskMelon,#N/A,12,#N/A
3300,MuskMelon,#N/A,47,#N/A
